QSPRID	pKi_median_Label	pKi_median_Prediction	Fold
P08908_LIGANDS_nostereo_2593	7.47	7.70309	0.0
P08908_LIGANDS_nostereo_1018	7.62	7.42587	0.0
P08908_LIGANDS_nostereo_0037	8.15	7.82573	0.0
P08908_LIGANDS_nostereo_1965	7.82	8.12815	0.0
P08908_LIGANDS_nostereo_2923	6.47	6.36525	0.0
P08908_LIGANDS_nostereo_3282	6.16	7.40245	0.0
P08908_LIGANDS_nostereo_1886	8.72	8.82025	0.0
P08908_LIGANDS_nostereo_2147	6.58	6.62592	0.0
P08908_LIGANDS_nostereo_0187	7.86	8.0034	0.0
P08908_LIGANDS_nostereo_3174	7.15	7.09408	0.0
P08908_LIGANDS_nostereo_1108	8.41	8.04776	0.0
P08908_LIGANDS_nostereo_0017	6.04	6.23998	0.0
P08908_LIGANDS_nostereo_0686	6.43	6.67869	0.0
P08908_LIGANDS_nostereo_3123	8.8	8.68691	0.0
P08908_LIGANDS_nostereo_2423	6.44	7.41996	0.0
P08908_LIGANDS_nostereo_2156	10.22	9.51961	0.0
P08908_LIGANDS_nostereo_0666	5.67	7.27392	0.0
P08908_LIGANDS_nostereo_1271	5.32	6.40127	0.0
P08908_LIGANDS_nostereo_1207	6.81	6.52075	0.0
P08908_LIGANDS_nostereo_1586	6.72	6.6201	0.0
P08908_LIGANDS_nostereo_3378	7.8	7.08246	0.0
P08908_LIGANDS_nostereo_0167	6.74	6.73103	0.0
P08908_LIGANDS_nostereo_1003	7.84	7.13414	0.0
P08908_LIGANDS_nostereo_2989	6.66	6.9388	0.0
P08908_LIGANDS_nostereo_0918	6.2	6.18944	0.0
P08908_LIGANDS_nostereo_0102	7.6	6.90728	0.0
P08908_LIGANDS_nostereo_2665	5.42	5.143	0.0
P08908_LIGANDS_nostereo_0262	7.12	7.39601	0.0
P08908_LIGANDS_nostereo_0107	7.62	7.61674	0.0
P08908_LIGANDS_nostereo_3247	6.15	6.3696	0.0
P08908_LIGANDS_nostereo_1382	10.0	9.40051	0.0
P08908_LIGANDS_nostereo_1854	8.15	7.96107	0.0
P08908_LIGANDS_nostereo_2707	6.8	6.71445	0.0
P08908_LIGANDS_nostereo_1862	7.07	7.43532	0.0
P08908_LIGANDS_nostereo_1196	7.57	7.4889	0.0
P08908_LIGANDS_nostereo_2916	6.75	6.41177	0.0
P08908_LIGANDS_nostereo_3054	7.12	7.12868	0.0
P08908_LIGANDS_nostereo_0303	7.28	6.92665	0.0
P08908_LIGANDS_nostereo_0209	6.05	6.37541	0.0
P08908_LIGANDS_nostereo_2385	6.99	6.89389	0.0
P08908_LIGANDS_nostereo_1773	6.66	6.94863	0.0
P08908_LIGANDS_nostereo_3327	7.5	6.84931	0.0
P08908_LIGANDS_nostereo_1651	6.6	7.47732	0.0
P08908_LIGANDS_nostereo_0728	8.9	8.30186	0.0
P08908_LIGANDS_nostereo_1701	8.22	7.94935	0.0
P08908_LIGANDS_nostereo_3310	6.33	6.65748	0.0
P08908_LIGANDS_nostereo_2077	7.365	7.6873	0.0
P08908_LIGANDS_nostereo_0327	9.05	9.21557	0.0
P08908_LIGANDS_nostereo_1361	8.6	8.85504	0.0
P08908_LIGANDS_nostereo_1411	6.33	6.92623	0.0
P08908_LIGANDS_nostereo_1099	4.58	6.72437	0.0
P08908_LIGANDS_nostereo_3188	6.53	6.50767	0.0
P08908_LIGANDS_nostereo_2713	7.64	8.72151	0.0
P08908_LIGANDS_nostereo_1788	7.64	7.90559	0.0
P08908_LIGANDS_nostereo_2680	7.72	7.99505	0.0
P08908_LIGANDS_nostereo_3062	7.17	7.14215	0.0
P08908_LIGANDS_nostereo_1955	7.2	7.18788	0.0
P08908_LIGANDS_nostereo_0213	6.81	6.81073	0.0
P08908_LIGANDS_nostereo_2962	10.69	10.69557	0.0
P08908_LIGANDS_nostereo_0411	7.02	7.39628	0.0
P08908_LIGANDS_nostereo_0841	8.61	7.44742	0.0
P08908_LIGANDS_nostereo_0207	5.6	6.06282	0.0
P08908_LIGANDS_nostereo_2268	7.52	7.67539	0.0
P08908_LIGANDS_nostereo_3229	6.26	7.34997	0.0
P08908_LIGANDS_nostereo_3193	6.41	6.92405	0.0
P08908_LIGANDS_nostereo_2428	6.99	7.10293	0.0
P08908_LIGANDS_nostereo_1581	7.24	7.31525	0.0
P08908_LIGANDS_nostereo_1201	9.28	7.65111	0.0
P08908_LIGANDS_nostereo_3242	6.47	6.80542	0.0
P08908_LIGANDS_nostereo_0392	6.87	6.53214	0.0
P08908_LIGANDS_nostereo_0347	8.05	7.702	0.0
P08908_LIGANDS_nostereo_0470	5.88	6.89108	0.0
P08908_LIGANDS_nostereo_0853	6.61	6.53313	0.0
P08908_LIGANDS_nostereo_0732	7.13	7.30707	0.0
P08908_LIGANDS_nostereo_1559	9.3	7.85377	0.0
P08908_LIGANDS_nostereo_0036	7.64	7.19738	0.0
P08908_LIGANDS_nostereo_3069	9.1	9.01361	0.0
P08908_LIGANDS_nostereo_2142	7.34	7.08464	0.0
P08908_LIGANDS_nostereo_2457	8.35	8.52089	0.0
P08908_LIGANDS_nostereo_2534	7.68	8.04525	0.0
P08908_LIGANDS_nostereo_2150	6.43	6.41822	0.0
P08908_LIGANDS_nostereo_3336	6.44	6.64302	0.0
P08908_LIGANDS_nostereo_1974	10.22	10.43354	0.0
P08908_LIGANDS_nostereo_2851	7.1	6.71409	0.0
P08908_LIGANDS_nostereo_3026	8.89	7.23515	0.0
P08908_LIGANDS_nostereo_0474	8.7	8.23313	0.0
P08908_LIGANDS_nostereo_1574	6.48	6.86439	0.0
P08908_LIGANDS_nostereo_0136	9.21	9.2253	0.0
P08908_LIGANDS_nostereo_3303	6.43	6.60134	0.0
P08908_LIGANDS_nostereo_0340	7.96	7.60675	0.0
P08908_LIGANDS_nostereo_3221	6.46	7.99175	0.0
P08908_LIGANDS_nostereo_3306	7.75	7.75254	0.0
P08908_LIGANDS_nostereo_1377	8.17	7.50517	1.0
P08908_LIGANDS_nostereo_1715	8.1	8.31215	1.0
P08908_LIGANDS_nostereo_2171	6.71	6.6518	1.0
P08908_LIGANDS_nostereo_2703	8.49	8.11904	1.0
P08908_LIGANDS_nostereo_0488	7.45	8.02156	1.0
P08908_LIGANDS_nostereo_1831	6.99	7.03455	1.0
P08908_LIGANDS_nostereo_0024	7.34	7.13987	1.0
P08908_LIGANDS_nostereo_2674	6.57	6.94317	1.0
P08908_LIGANDS_nostereo_1133	7.25	6.72871	1.0
P08908_LIGANDS_nostereo_2083	7.39	7.41405	1.0
P08908_LIGANDS_nostereo_0292	8.6	8.2875	1.0
P08908_LIGANDS_nostereo_0930	5.56	5.69222	1.0
P08908_LIGANDS_nostereo_2803	8.64	7.5923	1.0
P08908_LIGANDS_nostereo_3377	5.84	5.98441	1.0
P08908_LIGANDS_nostereo_2686	7.75	7.51165	1.0
P08908_LIGANDS_nostereo_1515	8.4	7.90773	1.0
P08908_LIGANDS_nostereo_2507	7.4	6.89495	1.0
P08908_LIGANDS_nostereo_1316	9.25	9.59724	1.0
P08908_LIGANDS_nostereo_1822	5.51	6.05727	1.0
P08908_LIGANDS_nostereo_0946	6.81	6.71605	1.0
P08908_LIGANDS_nostereo_2649	6.0	5.92045	1.0
P08908_LIGANDS_nostereo_2857	8.85	8.70282	1.0
P08908_LIGANDS_nostereo_3194	7.63	6.81798	1.0
P08908_LIGANDS_nostereo_2960	5.57	6.07676	1.0
P08908_LIGANDS_nostereo_1526	6.61	7.6143	1.0
P08908_LIGANDS_nostereo_2448	6.86	7.77556	1.0
P08908_LIGANDS_nostereo_2597	8.34	7.74073	1.0
P08908_LIGANDS_nostereo_0217	7.17	6.863	1.0
P08908_LIGANDS_nostereo_0234	6.38	6.33601	1.0
P08908_LIGANDS_nostereo_3132	7.13	6.94963	1.0
P08908_LIGANDS_nostereo_2670	8.79	8.88722	1.0
P08908_LIGANDS_nostereo_2748	7.35	6.92625	1.0
P08908_LIGANDS_nostereo_1289	7.01	7.32103	1.0
P08908_LIGANDS_nostereo_1224	7.7	7.79873	1.0
P08908_LIGANDS_nostereo_3084	6.02	6.73368	1.0
P08908_LIGANDS_nostereo_1718	6.25	6.40573	1.0
P08908_LIGANDS_nostereo_1956	5.93	6.90325	1.0
P08908_LIGANDS_nostereo_1364	8.4	8.06003	1.0
P08908_LIGANDS_nostereo_3268	9.0	9.65625	1.0
P08908_LIGANDS_nostereo_3275	6.12	6.31524	1.0
P08908_LIGANDS_nostereo_0778	6.16	7.82999	1.0
P08908_LIGANDS_nostereo_2465	8.8	8.17084	1.0
P08908_LIGANDS_nostereo_1470	6.8	6.85495	1.0
P08908_LIGANDS_nostereo_1365	6.97	6.94028	1.0
P08908_LIGANDS_nostereo_3320	9.4	9.16534	1.0
P08908_LIGANDS_nostereo_1069	8.24	7.67032	1.0
P08908_LIGANDS_nostereo_0528	8.1	7.46034	1.0
P08908_LIGANDS_nostereo_1317	7.72	7.35976	1.0
P08908_LIGANDS_nostereo_1050	6.4	7.13401	1.0
P08908_LIGANDS_nostereo_3018	6.08	6.24136	1.0
P08908_LIGANDS_nostereo_1070	6.38	6.61184	1.0
P08908_LIGANDS_nostereo_3345	6.72	6.77783	1.0
P08908_LIGANDS_nostereo_3115	6.99	7.1174	1.0
P08908_LIGANDS_nostereo_1561	8.68	8.15277	1.0
P08908_LIGANDS_nostereo_2321	7.75	6.8536	1.0
P08908_LIGANDS_nostereo_2289	8.6	8.31119	1.0
P08908_LIGANDS_nostereo_3322	8.06	7.62231	1.0
P08908_LIGANDS_nostereo_0268	6.36	6.14132	1.0
P08908_LIGANDS_nostereo_2620	8.52	7.47028	1.0
P08908_LIGANDS_nostereo_2997	7.16	6.98371	1.0
P08908_LIGANDS_nostereo_2517	6.53	7.07948	1.0
P08908_LIGANDS_nostereo_2295	5.74	6.66626	1.0
P08908_LIGANDS_nostereo_2749	7.0	5.90479	1.0
P08908_LIGANDS_nostereo_1413	8.72	8.64124	1.0
P08908_LIGANDS_nostereo_2453	9.3	8.76291	1.0
P08908_LIGANDS_nostereo_2378	9.61	9.35884	1.0
P08908_LIGANDS_nostereo_3291	7.66	7.40309	1.0
P08908_LIGANDS_nostereo_2660	7.11	6.81155	1.0
P08908_LIGANDS_nostereo_0477	8.025	8.5017	1.0
P08908_LIGANDS_nostereo_1435	5.7	6.07512	1.0
P08908_LIGANDS_nostereo_3106	7.27	7.98055	1.0
P08908_LIGANDS_nostereo_1755	6.52	7.01486	1.0
P08908_LIGANDS_nostereo_0563	8.24	8.30271	1.0
P08908_LIGANDS_nostereo_2608	5.45	6.69089	1.0
P08908_LIGANDS_nostereo_3155	8.0	6.79947	1.0
P08908_LIGANDS_nostereo_2764	8.26	7.80505	1.0
P08908_LIGANDS_nostereo_1879	5.85	6.68086	1.0
P08908_LIGANDS_nostereo_2400	5.82	6.62396	1.0
P08908_LIGANDS_nostereo_2763	6.37	6.41588	1.0
P08908_LIGANDS_nostereo_2121	7.29	7.28161	1.0
P08908_LIGANDS_nostereo_1643	5.96	5.57624	1.0
P08908_LIGANDS_nostereo_3122	8.3	7.77533	1.0
P08908_LIGANDS_nostereo_0261	6.84	7.25502	1.0
P08908_LIGANDS_nostereo_0975	7.4	7.42998	1.0
P08908_LIGANDS_nostereo_1485	6.79	7.02758	1.0
P08908_LIGANDS_nostereo_2790	7.51	6.84519	1.0
P08908_LIGANDS_nostereo_1172	6.69	7.12282	1.0
P08908_LIGANDS_nostereo_1723	7.24	7.62052	1.0
P08908_LIGANDS_nostereo_2414	7.04	7.00338	1.0
P08908_LIGANDS_nostereo_1786	7.05	6.87327	1.0
P08908_LIGANDS_nostereo_1353	7.3	7.65758	1.0
P08908_LIGANDS_nostereo_1707	6.48	8.23096	1.0
P08908_LIGANDS_nostereo_1536	6.09	6.5439	1.0
P08908_LIGANDS_nostereo_2140	6.98	7.15472	1.0
P08908_LIGANDS_nostereo_0357	8.41	8.08694	1.0
P08908_LIGANDS_nostereo_1026	6.16	6.57185	1.0
P08908_LIGANDS_nostereo_2955	8.59	8.87672	1.0
P08908_LIGANDS_nostereo_0955	8.83	7.91728	1.0
P08908_LIGANDS_nostereo_1436	8.19	8.17514	1.0
P08908_LIGANDS_nostereo_1187	7.28	7.69396	1.0
P08908_LIGANDS_nostereo_1678	7.705	7.93372	1.0
P08908_LIGANDS_nostereo_0582	7.64	7.41747	1.0
P08908_LIGANDS_nostereo_1142	8.8	8.30309	1.0
P08908_LIGANDS_nostereo_1324	8.4	8.11369	1.0
P08908_LIGANDS_nostereo_0527	9.9	9.62344	1.0
P08908_LIGANDS_nostereo_2879	9.4	8.99757	1.0
P08908_LIGANDS_nostereo_2090	7.77	7.54505	1.0
P08908_LIGANDS_nostereo_1805	6.69	7.46405	1.0
P08908_LIGANDS_nostereo_2927	9.585	6.83243	1.0
P08908_LIGANDS_nostereo_2514	6.39	7.55997	1.0
P08908_LIGANDS_nostereo_0051	6.11	6.80109	1.0
P08908_LIGANDS_nostereo_1869	7.69	7.79002	1.0
P08908_LIGANDS_nostereo_2138	8.5	8.18638	1.0
P08908_LIGANDS_nostereo_3252	6.76	7.4436	1.0
P08908_LIGANDS_nostereo_1993	6.72	6.4461	1.0
P08908_LIGANDS_nostereo_1516	7.36	7.98536	1.0
P08908_LIGANDS_nostereo_1005	7.89	7.37966	1.0
P08908_LIGANDS_nostereo_0359	5.94	6.44419	1.0
P08908_LIGANDS_nostereo_3333	6.83	6.70636	1.0
P08908_LIGANDS_nostereo_1306	6.55	6.67384	1.0
P08908_LIGANDS_nostereo_3304	7.01	7.19442	1.0
P08908_LIGANDS_nostereo_0146	7.99	7.64531	1.0
P08908_LIGANDS_nostereo_2322	5.94	6.27295	1.0
P08908_LIGANDS_nostereo_3409	6.965	7.22535	1.0
P08908_LIGANDS_nostereo_1818	7.21	7.83412	1.0
P08908_LIGANDS_nostereo_0421	8.27	8.41989	1.0
P08908_LIGANDS_nostereo_1849	8.76	8.24337	1.0
P08908_LIGANDS_nostereo_1812	7.85	7.65071	1.0
P08908_LIGANDS_nostereo_1693	7.88	7.49245	1.0
P08908_LIGANDS_nostereo_2718	5.35	5.60956	1.0
P08908_LIGANDS_nostereo_2331	7.09	7.54509	1.0
P08908_LIGANDS_nostereo_0960	8.28	8.02229	1.0
P08908_LIGANDS_nostereo_2492	9.3	8.76758	1.0
P08908_LIGANDS_nostereo_2401	6.97	6.93521	1.0
P08908_LIGANDS_nostereo_2820	7.9	7.06294	1.0
P08908_LIGANDS_nostereo_1760	7.54	7.32951	1.0
P08908_LIGANDS_nostereo_2652	7.25	7.30682	1.0
P08908_LIGANDS_nostereo_1402	8.85	7.95941	1.0
P08908_LIGANDS_nostereo_0777	7.45	6.38346	1.0
P08908_LIGANDS_nostereo_2696	8.1	7.94344	1.0
P08908_LIGANDS_nostereo_1191	6.89	7.96454	1.0
P08908_LIGANDS_nostereo_2358	9.2	9.03238	1.0
P08908_LIGANDS_nostereo_0134	8.2	8.6311	1.0
P08908_LIGANDS_nostereo_0317	7.42	8.23668	1.0
P08908_LIGANDS_nostereo_2513	9.2	8.74438	1.0
P08908_LIGANDS_nostereo_1652	8.0	7.12992	1.0
P08908_LIGANDS_nostereo_0719	8.11	7.9948	1.0
P08908_LIGANDS_nostereo_2843	6.41	5.97523	1.0
P08908_LIGANDS_nostereo_0123	7.43	7.59998	1.0
P08908_LIGANDS_nostereo_1071	7.96	8.0066	1.0
P08908_LIGANDS_nostereo_1371	7.11	7.2588	1.0
P08908_LIGANDS_nostereo_3109	5.62	7.30872	1.0
P08908_LIGANDS_nostereo_1737	7.17	6.97516	1.0
P08908_LIGANDS_nostereo_1596	6.76	7.40978	1.0
P08908_LIGANDS_nostereo_2975	5.6	5.83088	1.0
P08908_LIGANDS_nostereo_1550	9.82	8.00258	1.0
P08908_LIGANDS_nostereo_3217	7.03	7.59804	1.0
P08908_LIGANDS_nostereo_0875	9.7	9.81869	1.0
P08908_LIGANDS_nostereo_1957	7.68	8.18712	1.0
P08908_LIGANDS_nostereo_3003	7.0	6.99746	1.0
P08908_LIGANDS_nostereo_2535	7.11	6.95692	1.0
P08908_LIGANDS_nostereo_1376	8.92	8.88071	1.0
P08908_LIGANDS_nostereo_0103	7.08	6.71714	1.0
P08908_LIGANDS_nostereo_0634	5.9	5.93857	1.0
P08908_LIGANDS_nostereo_0165	7.655	7.09774	1.0
P08908_LIGANDS_nostereo_0944	5.81	5.60979	1.0
P08908_LIGANDS_nostereo_0459	6.64	6.42408	1.0
P08908_LIGANDS_nostereo_0570	6.94	8.48049	1.0
P08908_LIGANDS_nostereo_1843	8.7	7.13187	1.0
P08908_LIGANDS_nostereo_2654	5.21	5.86775	1.0
P08908_LIGANDS_nostereo_2179	5.42	5.83068	1.0
P08908_LIGANDS_nostereo_0783	10.22	9.52245	1.0
P08908_LIGANDS_nostereo_2630	6.71	7.49674	1.0
P08908_LIGANDS_nostereo_1472	9.0	9.04142	1.0
P08908_LIGANDS_nostereo_2159	7.96	7.59925	1.0
P08908_LIGANDS_nostereo_2605	5.87	7.2809	1.0
P08908_LIGANDS_nostereo_1692	8.6	6.95616	1.0
P08908_LIGANDS_nostereo_0109	7.21	7.30475	1.0
P08908_LIGANDS_nostereo_0126	7.28	7.2254	1.0
P08908_LIGANDS_nostereo_0120	8.36	8.11289	1.0
P08908_LIGANDS_nostereo_1806	7.18	7.31123	1.0
P08908_LIGANDS_nostereo_2519	8.52	8.46771	1.0
P08908_LIGANDS_nostereo_0701	7.68	7.69164	1.0
P08908_LIGANDS_nostereo_0929	6.26	7.50618	1.0
P08908_LIGANDS_nostereo_2091	6.98	7.10499	1.0
P08908_LIGANDS_nostereo_0812	7.58	7.26004	1.0
P08908_LIGANDS_nostereo_1507	7.23	7.47589	1.0
P08908_LIGANDS_nostereo_2836	7.8	7.74086	1.0
P08908_LIGANDS_nostereo_1935	7.74	7.5455	1.0
P08908_LIGANDS_nostereo_2541	5.68	6.09606	1.0
P08908_LIGANDS_nostereo_3404	7.09	6.85832	1.0
P08908_LIGANDS_nostereo_3147	8.115	7.82493	1.0
P08908_LIGANDS_nostereo_0940	7.77	8.03419	1.0
P08908_LIGANDS_nostereo_3060	7.62	7.36441	1.0
P08908_LIGANDS_nostereo_1098	9.08	7.80397	1.0
P08908_LIGANDS_nostereo_0214	8.44	7.8795	1.0
P08908_LIGANDS_nostereo_2550	6.34	7.02672	1.0
P08908_LIGANDS_nostereo_2340	8.7	8.03806	1.0
P08908_LIGANDS_nostereo_1980	5.22	6.74926	1.0
P08908_LIGANDS_nostereo_1622	7.62	8.02598	1.0
P08908_LIGANDS_nostereo_0163	7.95	7.75462	1.0
P08908_LIGANDS_nostereo_3425	7.47	7.30789	1.0
P08908_LIGANDS_nostereo_1571	7.98	8.11196	1.0
P08908_LIGANDS_nostereo_0082	8.055	7.87478	1.0
P08908_LIGANDS_nostereo_0746	6.0	6.58224	1.0
P08908_LIGANDS_nostereo_2929	7.96	7.74729	1.0
P08908_LIGANDS_nostereo_1348	4.32	6.08249	1.0
P08908_LIGANDS_nostereo_3400	6.46	7.16994	1.0
P08908_LIGANDS_nostereo_0961	6.16	6.55116	1.0
P08908_LIGANDS_nostereo_3071	8.14	7.56653	1.0
P08908_LIGANDS_nostereo_2967	7.12	7.315	1.0
P08908_LIGANDS_nostereo_1035	6.95	7.46578	1.0
P08908_LIGANDS_nostereo_1298	6.57	6.81073	1.0
P08908_LIGANDS_nostereo_0594	6.875	6.61734	1.0
P08908_LIGANDS_nostereo_1779	7.01	8.00257	1.0
P08908_LIGANDS_nostereo_2824	7.28	6.717	1.0
P08908_LIGANDS_nostereo_0611	6.27	6.67899	1.0
P08908_LIGANDS_nostereo_1996	8.68	8.66543	1.0
P08908_LIGANDS_nostereo_3419	7.585	6.79471	1.0
P08908_LIGANDS_nostereo_2584	10.27	9.93198	1.0
P08908_LIGANDS_nostereo_2845	7.26	7.36118	1.0
P08908_LIGANDS_nostereo_1606	7.7	8.17572	1.0
P08908_LIGANDS_nostereo_2645	8.09	8.12341	1.0
P08908_LIGANDS_nostereo_0555	7.4	7.48409	1.0
P08908_LIGANDS_nostereo_3036	6.37	6.85007	1.0
P08908_LIGANDS_nostereo_3057	6.62	7.8982	1.0
P08908_LIGANDS_nostereo_2316	6.075	6.44006	1.0
P08908_LIGANDS_nostereo_0095	6.95	6.98029	1.0
P08908_LIGANDS_nostereo_1859	6.33	7.26181	1.0
P08908_LIGANDS_nostereo_1833	9.22	8.91817	1.0
P08908_LIGANDS_nostereo_2194	6.82	8.50014	1.0
P08908_LIGANDS_nostereo_0468	8.28	8.09011	1.0
P08908_LIGANDS_nostereo_2299	6.6	7.33203	1.0
P08908_LIGANDS_nostereo_2839	8.81	7.43241	1.0
P08908_LIGANDS_nostereo_1603	6.08	6.52912	1.0
P08908_LIGANDS_nostereo_1119	6.38	6.65871	1.0
P08908_LIGANDS_nostereo_2600	7.5	7.08917	1.0
P08908_LIGANDS_nostereo_1447	7.27	7.37593	1.0
P08908_LIGANDS_nostereo_1319	4.54	5.33763	1.0
P08908_LIGANDS_nostereo_3269	5.68	5.4425	1.0
P08908_LIGANDS_nostereo_0843	7.92	8.2468	1.0
P08908_LIGANDS_nostereo_2125	8.43	8.60087	1.0
P08908_LIGANDS_nostereo_3315	5.46	6.18298	1.0
P08908_LIGANDS_nostereo_0333	6.72	6.72072	1.0
P08908_LIGANDS_nostereo_2411	5.28	5.63744	1.0
P08908_LIGANDS_nostereo_0002	8.52	7.80915	1.0
P08908_LIGANDS_nostereo_2632	7.81	7.30526	1.0
P08908_LIGANDS_nostereo_2681	8.18	7.70094	1.0
P08908_LIGANDS_nostereo_0252	5.84	6.33813	1.0
P08908_LIGANDS_nostereo_2338	8.65	8.0961	1.0
P08908_LIGANDS_nostereo_1873	7.31	7.01298	1.0
P08908_LIGANDS_nostereo_1245	9.0	7.62607	1.0
P08908_LIGANDS_nostereo_0320	6.07	6.6939	1.0
P08908_LIGANDS_nostereo_3321	6.975	7.32216	1.0
P08908_LIGANDS_nostereo_0189	6.63	6.86638	1.0
P08908_LIGANDS_nostereo_2314	6.26	7.03381	1.0
P08908_LIGANDS_nostereo_1246	4.8	5.65809	1.0
P08908_LIGANDS_nostereo_2477	8.32	7.64031	1.0
P08908_LIGANDS_nostereo_0865	10.045	9.09152	1.0
P08908_LIGANDS_nostereo_0344	8.0	8.20022	1.0
P08908_LIGANDS_nostereo_0740	7.02	7.04609	1.0
P08908_LIGANDS_nostereo_2351	6.26	6.47635	1.0
P08908_LIGANDS_nostereo_3149	6.98	6.97931	1.0
P08908_LIGANDS_nostereo_1656	9.15	7.80028	1.0
P08908_LIGANDS_nostereo_3251	8.96	9.3026	1.0
P08908_LIGANDS_nostereo_1567	6.9	7.11252	1.0
P08908_LIGANDS_nostereo_0689	6.16	6.69413	1.0
P08908_LIGANDS_nostereo_1917	7.58	7.34664	1.0
P08908_LIGANDS_nostereo_3127	6.39	6.94373	1.0
P08908_LIGANDS_nostereo_0854	7.505	7.6636	1.0
P08908_LIGANDS_nostereo_1116	6.02	6.15485	1.0
P08908_LIGANDS_nostereo_1560	9.4	8.60505	1.0
P08908_LIGANDS_nostereo_2458	6.87	6.61629	1.0
P08908_LIGANDS_nostereo_0111	8.23	8.64816	1.0
P08908_LIGANDS_nostereo_3412	7.15	6.95945	1.0
P08908_LIGANDS_nostereo_1896	5.64	5.78707	1.0
P08908_LIGANDS_nostereo_2518	7.01	9.70017	1.0
P08908_LIGANDS_nostereo_2361	8.78	8.91137	1.0
P08908_LIGANDS_nostereo_2575	9.3	8.48333	1.0
P08908_LIGANDS_nostereo_2940	8.92	8.01172	1.0
P08908_LIGANDS_nostereo_2903	5.27	7.28852	1.0
P08908_LIGANDS_nostereo_2569	8.16	8.26639	1.0
P08908_LIGANDS_nostereo_0030	7.75	8.05317	1.0
P08908_LIGANDS_nostereo_2345	6.51	7.14067	1.0
P08908_LIGANDS_nostereo_1662	6.81	7.94851	1.0
P08908_LIGANDS_nostereo_0469	8.36	8.14802	1.0
P08908_LIGANDS_nostereo_2119	6.78	6.8754	1.0
P08908_LIGANDS_nostereo_0613	7.11	7.52486	1.0
P08908_LIGANDS_nostereo_1460	8.6	8.30906	1.0
P08908_LIGANDS_nostereo_2708	6.33	6.19311	1.0
P08908_LIGANDS_nostereo_0456	7.99	7.62015	1.0
P08908_LIGANDS_nostereo_2901	7.75	8.13086	1.0
P08908_LIGANDS_nostereo_0767	5.82	5.8913	1.0
P08908_LIGANDS_nostereo_2190	6.67	7.1142	1.0
P08908_LIGANDS_nostereo_3187	8.7	9.2401	1.0
P08908_LIGANDS_nostereo_0947	7.96	8.3901	1.0
P08908_LIGANDS_nostereo_2727	8.4	8.15734	1.0
P08908_LIGANDS_nostereo_2816	6.28	7.0606	1.0
P08908_LIGANDS_nostereo_2014	5.03	6.89878	1.0
P08908_LIGANDS_nostereo_1363	5.25	5.80346	1.0
P08908_LIGANDS_nostereo_3154	5.54	6.87804	1.0
P08908_LIGANDS_nostereo_0808	7.7	8.25771	1.0
P08908_LIGANDS_nostereo_0990	7.32	7.77348	1.0
P08908_LIGANDS_nostereo_1160	8.8	8.04237	1.0
P08908_LIGANDS_nostereo_2657	7.82	7.82461	1.0
P08908_LIGANDS_nostereo_1034	7.17	7.76051	1.0
P08908_LIGANDS_nostereo_2461	7.62	7.1393	1.0
P08908_LIGANDS_nostereo_0295	5.84	6.89862	1.0
P08908_LIGANDS_nostereo_3191	7.21	7.46521	1.0
P08908_LIGANDS_nostereo_0154	8.39	8.59518	1.0
P08908_LIGANDS_nostereo_0888	9.1	8.5723	1.0
P08908_LIGANDS_nostereo_1049	8.15	8.53561	1.0
P08908_LIGANDS_nostereo_0026	5.64	5.67361	1.0
P08908_LIGANDS_nostereo_2375	6.22	7.65463	1.0
P08908_LIGANDS_nostereo_2631	8.04	7.7422	1.0
P08908_LIGANDS_nostereo_3139	8.9	7.5663	1.0
P08908_LIGANDS_nostereo_2866	9.19	8.91644	1.0
P08908_LIGANDS_nostereo_2561	6.37	7.06051	1.0
P08908_LIGANDS_nostereo_2945	5.58	5.80259	1.0
P08908_LIGANDS_nostereo_3340	7.72	7.87931	1.0
P08908_LIGANDS_nostereo_1925	7.0	7.62931	1.0
P08908_LIGANDS_nostereo_2421	7.66	7.95067	1.0
P08908_LIGANDS_nostereo_2655	7.72	7.53889	1.0
P08908_LIGANDS_nostereo_0866	8.195	8.30458	1.0
P08908_LIGANDS_nostereo_1704	10.78	10.58895	1.0
P08908_LIGANDS_nostereo_0373	6.08	7.85499	1.0
P08908_LIGANDS_nostereo_0011	8.07	6.7827	1.0
P08908_LIGANDS_nostereo_2560	7.4	7.56236	1.0
P08908_LIGANDS_nostereo_1332	7.42	6.96334	1.0
P08908_LIGANDS_nostereo_0997	6.67	6.91424	1.0
P08908_LIGANDS_nostereo_1169	7.19	7.16603	1.0
P08908_LIGANDS_nostereo_2567	5.71	5.71059	1.0
P08908_LIGANDS_nostereo_1758	10.32	10.32674	1.0
P08908_LIGANDS_nostereo_1530	7.37	7.55752	1.0
P08908_LIGANDS_nostereo_1735	6.5	6.84393	1.0
P08908_LIGANDS_nostereo_2046	6.86	6.6569	1.0
P08908_LIGANDS_nostereo_3273	7.925	7.73218	1.0
P08908_LIGANDS_nostereo_3293	6.03	7.74782	1.0
P08908_LIGANDS_nostereo_0137	8.68	8.7724	1.0
P08908_LIGANDS_nostereo_0756	8.3	7.73861	1.0
P08908_LIGANDS_nostereo_1922	7.75	7.61612	1.0
P08908_LIGANDS_nostereo_1430	6.59	7.31535	1.0
P08908_LIGANDS_nostereo_0387	7.9	7.51316	1.0
P08908_LIGANDS_nostereo_0343	6.79	7.48407	1.0
